column_name,type,structure,level,description,validity_assessment,CRED_criteria
behav_antipredator,catgorical/string list,"""response to a simulated predator"", ""locomotor activity within this context"", ""response to a predation olfactory cue"", ""response to a live predator behind a barrier"", ""response to a live predator free to interact"", NA",species by compound,Can have multiple categories separated by a comma. See Table SX for a discretion of each category (LINK),0,NA
behav_mating_boolean,boolean,"""Yes"", ""No""",species by compound,A boolean measure of whether pre-copulatory or actual mating behaviours were measured,0,NA
behav_mating,catgorical/string list,"""pre copulatory and mating behaviour"", ""pre copulatory behaviour with physical barrier"", ""mate choice or preference"", ""nesting behaviour"", ""non-interactive pre copulatory behaviour"", ""locomotor activity within this context"", ""direct mate competition"", NA",species by compound,Can have multiple categories separated by a comma. See Table SX for a discretion of each category (LINK),0,NA
behav_post_mating_boolean,boolean,"""Yes"", ""No""",species by compound,A boolean measure of whether any post-copulatory reproductive behaviours were measured,0,NA
behav_post_mating,catgorical/string list,"""offspring care"", ""resource defence"", NA",species by compound,Can have multiple categories separated by a comma. See Table SX for a discretion of each category (LINK),0,NA
behav_agression_boolean,boolean,"""Yes"", ""No""",species by compound,A boolean measure of any aggressive behaviours were measured,0,NA
behav_agression,catgorical/string list,"""aggression towards a mirror"", ""aggression towards a live competitor free to interact"", ""aggression towards a live competitor with physical barrier"", ""aggression towards a model or video"", ""locomotor activity within this context"", NA",species by compound,Can have multiple categories separated by a comma. See Table SX for a discretion of each category (LINK),0,NA
behav_sociality_boolean,boolean,"""Yes"", ""No""",species by compound,A boolean measure of any social or sociability related behaviours were measured,0,NA
behav_sociality,catgorical/string list,"""affiliation with a live conspecific behind a barrier"", ""affiliation with a live conspecific free to interact"", ""locomotor activity within this context"",  ""affiliation with a conspecific model or video or mirror"", ""social choice between some number of options"", ""unexplained sociality test"", ""affiliation with a live heterospecific free to interact"", ""undirected social behaviour"", NA ",species by compound,Can have multiple categories separated by a comma. See Table SX for a discretion of each category (LINK),0,NA
behav_cognition_boolean,boolean,"""Yes"", ""No""",species by compound,A boolean measure of any cognition related behaviours were measured,0,NA
behav_cognition,catgorical/string list,"""positive reinforcement associative learning"", ""negative reinforcement associative learning"", ""memory or information retention"", ""locomotor activity within this context"", ""habituation task"", ""novel task problem solving"", NA",species by compound,Can have multiple categories separated by a comma. See Table SX for a discretion of each category (LINK),0,NA
behav_noncat_boolean,boolean,"""Yes"", ""No""",species by compound,A boolean measure of any otherwise uncategorised behaviours were measured,0,NA
behav_noncat,catgorical/string list,"""attraction or aversion to compound"", ""circadian activity"", ""righting behaviour"", ""pain response"", ""sedation"", ""colour preference"", ""thermal preference behaviour"", ""exercise challenge"", ""camouflage"", ""lateralization"", NA",species by compound,Can have multiple categories separated by a comma. See Table SX for a discretion of each category (LINK),0,NA
behav_is_social_context,boolean,"""Yes"", ""No""",species by compound,A boolean measure of whether or not behaviour was measured in a social context where conspecifics were free to interact ,0,NA
behav_test_location,catgorical/string list,"""Indoor laboratory setting or assumed indoors"", ""Outdoor restricted setting (cannot interact with wild species)"", ""Outdoor natural setting"" ",species by compound,The location where behaviour was assessed. Can have multiple categories separated by a comma.,0,NA
comments,string,free,article,Comments left by screeners during the extraction,0,NA
wos_journal_iso_abbrev,string,free,article,Web of Science ISO journal name abbreviation ,0,NA
wos_author_keywords,string list,semi colon separated list,article,Web of Science unique article ID,0,NA
wos_id,string,free,article,Web of Science author keywords,0,NA
wos_categories,catgorical/string list,semi colon separated list,article,Every journal and book covered by Web of Science core collection is assigned to at least one resarch area. For category list see https://webofscience.help.clarivate.com/en-us/Content/wos-core-collection/wos-core-collection.htm?Highlight=category,0,NA
wos_research_areas,catgorical/string list,semi colon separated list,article,Every journal and book covered by Web of Science core collection is assigned to at least one subject categories. Every record in Web of Science core collection contains the subject category of its source publication in the Web of Science Categories field. For category list see https://webofscience.help.clarivate.com/en-us/Content/wos-core-collection/wos-core-collection.htm?Highlight=category,0,NA
wos_cited_references,interger,free,article,The number of references cite within the article according to Web of Science,0,NA
wos_times_cited_05_07_2024,interger,free,article,The number of times the article has been cited according to Web of Science on the 05/07/2024,0,NA
scopus_jounral_abbrev,string,free,article,Scopus journal name abbreviation ,0,NA
scopus_author_keywords,string list,semi colon separated list,article,Scopus author key words,0,NA
scopus_id,string,free,article,Scopus unique article ID,0,NA
scopus_times_cited_05_07_2024,interger,free,article,The number of times the article has been cited according to Scopus on the 05/07/2024,0,NA
